Velocity,Mass,Thrust,Drag
0.008,19.83,270.014,0
0.033,19.829,450.024,0
0.077,19.828,630.034,0
0.14,19.826,810.043,0
0.22,19.825,990.053,0
0.318,19.824,1170.063,0
0.435,19.823,1350.072,0
0.57,19.822,1530.082,0
0.723,19.821,1710.092,0.001
0.894,19.82,1890.101,0.001
1.08,19.818,2044.913,0.002
1.268,19.816,2048.538,0.004
1.453,19.814,2026.966,0.006
1.635,19.812,2005.393,0.008
1.816,19.81,1983.821,0.011
1.995,19.808,1962.248,0.014
2.171,19.806,1940.675,0.018
2.348,19.804,1942.696,0.022
2.527,19.802,1968.309,0.027
2.709,19.8,1993.922,0.032
2.893,19.798,2019.535,0.038
3.08,19.796,2045.148,0.045
3.27,19.793,2070.761,0.052
3.462,19.791,2096.375,0.061
3.657,19.789,2121.988,0.069
3.854,19.787,2147.167,0.079
4.054,19.785,2169.741,0.089
4.256,19.782,2191.882,0.1
4.46,19.78,2214.022,0.111
4.667,19.778,2236.162,0.124
4.875,19.775,2258.303,0.137
5.086,19.773,2280.443,0.151
5.3,19.771,2302.583,0.166
5.515,19.768,2324.723,0.181
5.733,19.766,2346.864,0.197
5.953,19.764,2368.37,0.214
6.175,19.761,2386.07,0.232
6.399,19.759,2403.137,0.25
6.624,19.756,2420.203,0.27
6.851,19.754,2437.27,0.29
7.08,19.751,2454.336,0.31
7.311,19.749,2471.402,0.332
7.543,19.746,2488.469,0.354
7.777,19.743,2504.167,0.377
8.012,19.741,2511.659,0.4
8.247,19.738,2517.783,0.424
8.483,19.735,2523.907,0.449
8.72,19.733,2530.03,0.474
8.958,19.73,2536.154,0.5
9.196,19.728,2542.278,0.526
9.434,19.725,2548.402,0.553
9.674,19.722,2554.526,0.581
9.914,19.72,2560.65,0.609
10.154,19.717,2566.774,0.637
10.396,19.714,2572.898,0.666
10.638,19.712,2579.021,0.696
10.88,19.709,2585.145,0.726
11.124,19.706,2591.269,0.757
11.368,19.704,2597.393,0.789
11.612,19.701,2603.517,0.82
11.858,19.698,2609.641,0.853
12.104,19.696,2615.765,0.886
12.35,19.693,2621.889,0.92
12.597,19.69,2628.012,0.954
12.845,19.688,2634.136,0.988
13.094,19.685,2640.26,1.023
13.343,19.682,2646.384,1.059
13.592,19.68,2648.965,1.095
13.842,19.677,2648.002,1.132
14.091,19.674,2647.039,1.169
14.34,19.671,2646.077,1.207
14.59,19.669,2645.114,1.244
14.839,19.666,2644.152,1.283
15.088,19.663,2643.189,1.322
15.337,19.661,2642.226,1.36
15.586,19.658,2641.264,1.399
15.835,19.655,2640.301,1.438
16.084,19.652,2639.339,1.478
16.333,19.65,2638.376,1.518
16.581,19.647,2637.413,1.558
16.83,19.644,2636.451,1.598
17.078,19.641,2635.488,1.639
17.327,19.639,2634.526,1.68
17.575,19.636,2633.563,1.721
17.824,19.633,2632.6,1.763
18.072,19.631,2631.638,1.804
18.32,19.628,2630.675,1.846
18.569,19.625,2629.713,1.889
18.817,19.622,2628.75,1.931
19.065,19.62,2627.787,1.973
19.313,19.617,2627.075,2.015
19.561,19.614,2626.614,2.058
19.809,19.612,2626.153,2.1
20.057,19.609,2625.692,2.143
20.305,19.606,2625.23,2.185
20.553,19.603,2624.769,2.228
20.801,19.601,2624.308,2.271
21.048,19.598,2623.847,2.314
21.296,19.595,2623.385,2.357
21.544,19.593,2622.924,2.401
21.792,19.59,2622.463,2.445
22.04,19.587,2622.002,2.49
22.288,19.585,2621.54,2.534
22.536,19.582,2621.079,2.579
22.784,19.579,2620.618,2.624
23.031,19.576,2620.157,2.669
23.279,19.574,2619.695,2.715
23.527,19.571,2619.234,2.761
23.775,19.568,2618.773,2.807
24.022,19.566,2618.312,2.853
24.27,19.563,2617.85,2.899
24.518,19.56,2617.389,2.946
24.765,19.558,2616.928,2.993
25.013,19.555,2616.467,3.04
25.261,19.552,2616.005,3.088
25.508,19.549,2615.544,3.136
25.756,19.547,2615.083,3.184
26.004,19.544,2614.622,3.232
26.251,19.541,2614.16,3.28
26.499,19.539,2613.699,3.329
26.747,19.536,2613.238,3.378
26.994,19.533,2612.777,3.428
27.242,19.531,2612.315,3.477
27.489,19.528,2611.854,3.527
27.737,19.525,2611.393,3.579
27.984,19.522,2610.932,3.631
28.232,19.52,2610.47,3.683
28.479,19.517,2610.009,3.736
28.727,19.514,2609.548,3.789
28.974,19.512,2609.087,3.842
29.221,19.509,2608.928,3.896
29.469,19.506,2609.073,3.95
29.716,19.504,2609.218,4.004
29.964,19.501,2609.362,4.059
30.212,19.498,2609.507,4.114
30.459,19.495,2609.652,4.169
30.707,19.493,2609.797,4.225
30.955,19.49,2609.941,4.281
31.203,19.487,2610.086,4.337
31.451,19.485,2610.231,4.394
31.698,19.482,2610.375,4.451
31.946,19.479,2610.52,4.508
32.194,19.477,2610.665,4.566
32.442,19.474,2610.81,4.624
32.691,19.471,2610.954,4.682
32.939,19.468,2611.099,4.741
33.187,19.466,2611.244,4.8
33.435,19.463,2611.388,4.86
33.683,19.46,2611.533,4.92
33.932,19.458,2611.678,4.977
34.18,19.455,2611.822,5.036
34.429,19.452,2611.967,5.094
34.677,19.45,2612.112,5.153
34.925,19.447,2612.257,5.212
35.174,19.444,2612.401,5.271
35.423,19.441,2612.546,5.331
35.671,19.439,2612.691,5.391
36.044,19.435,2612.872,5.481
36.604,19.429,2613.143,5.617
37.444,19.42,2613.55,5.824
38.69,19.406,2614.156,6.137
39.936,19.393,2614.879,6.458
41.184,19.379,2615.603,6.807
42.433,19.366,2616.256,7.164
43.683,19.352,2616.647,7.53
44.934,19.339,2617.012,7.904
46.186,19.325,2617.378,8.287
47.438,19.312,2617.743,8.667
48.692,19.298,2618.108,9.085
49.947,19.285,2618.474,9.512
51.202,19.271,2618.839,9.949
52.459,19.258,2619.204,10.396
53.716,19.244,2619.57,10.853
54.974,19.23,2619.935,11.319
56.233,19.217,2620.3,11.796
57.493,19.203,2620.666,12.283
58.754,19.19,2621.031,12.779
60.016,19.176,2621.397,13.282
61.279,19.163,2621.762,13.795
62.542,19.149,2622.127,14.318
63.807,19.136,2622.493,14.851
65.072,19.122,2622.858,15.395
66.339,19.109,2623.223,15.965
67.606,19.095,2623.503,16.545
68.873,19.082,2623.076,17.135
70.141,19.069,2622.491,17.735
71.409,19.055,2621.907,18.344
72.678,19.042,2621.323,18.936
73.947,19.028,2620.738,19.538
75.216,19.015,2620.154,20.151
76.485,19.001,2619.57,20.775
77.755,18.988,2618.986,21.41
79.025,18.975,2618.401,22.03
80.295,18.961,2617.817,22.665
81.566,18.948,2617.233,23.316
82.836,18.934,2616.648,23.982
84.107,18.921,2616.064,24.666
85.378,18.908,2615.48,25.402
86.65,18.894,2614.896,26.15
87.921,18.881,2614.311,26.91
89.193,18.867,2613.727,27.683
90.464,18.854,2613.143,28.468
91.736,18.84,2612.558,29.268
93.008,18.827,2611.974,30.08
94.28,18.814,2611.39,30.905
95.552,18.8,2610.805,31.744
96.824,18.787,2610.221,32.596
98.096,18.773,2609.637,33.453
99.368,18.76,2609.053,34.326
100.64,18.747,2608.468,35.216
101.911,18.733,2607.884,36.122
103.183,18.72,2607.3,37.044
104.455,18.706,2606.715,37.985
105.726,18.693,2606.131,38.941
106.997,18.68,2605.547,39.911
108.268,18.666,2604.963,40.896
109.539,18.653,2604.378,41.895
110.81,18.639,2603.794,42.91
112.08,18.626,2603.21,43.94
113.351,18.612,2602.625,44.986
114.621,18.599,2602.041,46.046
115.89,18.586,2601.457,47.12
117.159,18.572,2600.873,48.208
118.429,18.559,2600.288,49.309
119.697,18.545,2599.704,50.423
120.966,18.532,2599.12,51.55
122.234,18.519,2598.535,52.691
123.501,18.505,2597.951,53.861
124.769,18.492,2597.367,55.047
126.036,18.478,2596.783,56.246
127.302,18.465,2596.198,57.457
128.568,18.451,2595.614,58.679
129.834,18.438,2595.03,59.875
131.1,18.425,2594.445,61.08
132.365,18.411,2593.861,62.294
133.63,18.398,2593.277,63.517
134.896,18.384,2592.693,64.749
136.161,18.371,2592.108,66.011
137.426,18.358,2591.524,67.281
138.691,18.344,2590.94,68.56
139.956,18.331,2590.355,69.846
141.221,18.317,2589.771,71.141
142.486,18.304,2589.187,72.451
143.751,18.291,2588.603,73.768
145.016,18.277,2588.018,75.094
146.281,18.264,2587.434,76.428
147.547,18.25,2586.85,77.77
148.812,18.237,2586.265,79.102
150.078,18.223,2585.681,80.449
151.344,18.21,2585.097,81.81
152.611,18.197,2584.513,83.188
153.878,18.183,2583.928,84.584
155.146,18.17,2583.344,86
156.414,18.156,2582.76,87.435
157.682,18.143,2582.175,88.89
158.951,18.13,2581.591,90.366
160.22,18.116,2581.007,91.863
161.49,18.103,2580.423,93.374
162.76,18.089,2579.838,94.903
164.03,18.076,2579.254,96.45
165.3,18.062,2578.67,98.015
166.57,18.049,2578.085,99.6
167.841,18.036,2577.501,101.24
169.112,18.022,2576.917,102.909
170.384,18.009,2576.333,104.604
171.655,17.995,2575.702,106.325
172.926,17.982,2574.438,108.066
174.197,17.969,2572.974,109.766
175.467,17.956,2571.509,111.477
176.737,17.943,2570.045,113.199
178.006,17.93,2568.581,114.93
179.275,17.916,2567.116,116.67
180.543,17.903,2565.652,118.439
181.81,17.89,2564.188,120.216
183.076,17.877,2562.723,122
184.342,17.864,2561.259,123.792
185.607,17.85,2559.795,125.59
186.871,17.837,2558.33,127.408
188.134,17.824,2556.866,129.233
189.397,17.811,2555.402,131.066
190.658,17.798,2553.937,132.907
191.918,17.784,2552.473,134.757
193.178,17.771,2551.009,136.621
194.436,17.758,2549.544,138.497
195.693,17.745,2548.08,140.386
196.949,17.732,2546.616,142.29
198.204,17.718,2545.151,144.211
199.457,17.705,2543.687,146.131
200.709,17.692,2542.223,148.075
201.96,17.679,2540.758,150.046
203.209,17.666,2539.286,152.045
204.456,17.653,2537.15,154.071
205.701,17.64,2534.598,156.119
206.944,17.627,2532.046,158.197
208.184,17.614,2529.493,160.302
209.422,17.601,2526.941,162.434
210.657,17.588,2524.389,164.587
211.891,17.576,2521.837,166.755
213.122,17.563,2519.285,168.936
214.351,17.55,2516.733,171.127
215.577,17.537,2514.18,173.327
216.802,17.524,2511.628,175.533
218.025,17.511,2509.076,177.747
219.246,17.498,2506.524,179.967
220.465,17.485,2503.972,182.191
221.682,17.473,2501.42,184.419
222.898,17.46,2498.867,186.652
224.112,17.447,2496.315,188.888
225.325,17.434,2493.763,191.138
226.537,17.421,2491.211,193.404
227.748,17.408,2488.659,195.691
228.957,17.395,2486.107,198.001
230.165,17.383,2483.555,200.331
231.372,17.37,2481.002,202.684
232.578,17.357,2478.45,205.064
233.782,17.344,2475.898,207.47
234.985,17.331,2473.346,209.904
236.187,17.318,2470.794,212.362
237.387,17.305,2468.242,214.846
238.586,17.292,2465.689,217.354
239.784,17.28,2463.137,219.885
240.979,17.267,2460.585,222.436
242.174,17.254,2458.033,225.02
243.366,17.241,2455.481,227.621
244.557,17.228,2452.929,230.238
245.746,17.215,2450.371,232.866
246.933,17.203,2447.77,235.506
248.119,17.19,2445.159,238.157
249.302,17.178,2442.548,240.818
250.482,17.165,2439.937,243.49
251.661,17.153,2437.326,246.174
252.837,17.14,2434.715,248.871
254.011,17.128,2432.105,251.57
255.182,17.115,2429.494,254.291
256.35,17.103,2426.883,257.039
257.516,17.09,2424.272,259.816
258.679,17.078,2421.661,262.626
259.839,17.065,2419.05,265.484
260.997,17.053,2416.439,268.374
